timestamp,home311_hall2851_sensor20141c20143_electric-mains_electric-combined,home311_bathroom2854_sensor20133_gas-pulse_gas
2018-03-21 09:00:00,63.0,5147.0
2018-03-21 10:00:00,101.0,5038.0
2018-03-21 11:00:00,65.0,4703.0
2018-03-21 12:00:00,94.0,4030.0
2018-03-21 13:00:00,64.0,2687.0
2018-03-21 14:00:00,298.0,4812.0
2018-03-21 15:00:00,375.0,3133.0
2018-03-21 16:00:00,369.0,3582.0
2018-03-21 17:00:00,83.0,5034.0
2018-03-21 18:00:00,87.0,4367.0
2018-03-21 19:00:00,428.0,5038.0
2018-03-21 20:00:00,453.0,5149.0
2018-03-21 21:00:00,1666.0,4139.0
2018-03-21 22:00:00,1320.0,4703.0
2018-03-21 23:00:00,796.0,3802.0
2018-03-22 00:00:00,118.0,4592.0
2018-03-22 01:00:00,97.0,4478.0
2018-03-22 02:00:00,115.0,2015.0
2018-03-22 04:00:00,76.0,4144.0
2018-03-22 05:00:00,111.0,4256.0
2018-03-22 06:00:00,77.0,4254.0
2018-03-22 07:00:00,112.0,4367.0
2018-03-22 08:00:00,330.0,4142.0
2018-03-22 09:00:00,149.0,4589.0
2018-03-22 10:00:00,71.0,3694.0
2018-03-22 11:00:00,106.0,4028.0
2018-03-22 12:00:00,516.0,4028.0
2018-03-22 13:00:00,404.0,4031.0
2018-03-22 14:00:00,220.0,3695.0
2018-03-22 15:00:00,207.0,4030.0
2018-03-22 16:00:00,213.0,4029.0
2018-03-22 17:00:00,230.0,3805.0
2018-03-22 18:00:00,425.0,4142.0
2018-03-22 19:00:00,718.0,4252.0
2018-03-22 20:00:00,187.0,4254.0
2018-03-22 21:00:00,191.0,4816.0
2018-03-22 22:00:00,218.0,4477.0
2018-03-22 23:00:00,236.0,4367.0
2018-03-23 00:00:00,236.0,1344.0
2018-03-23 04:00:00,236.0,112.0
2018-03-23 06:00:00,236.0,2015.0
2018-03-23 07:00:00,236.0,1119.0
2018-03-23 08:00:00,236.0,6492.0
2018-03-23 09:00:00,236.0,2800.0
2018-03-23 10:00:00,236.0,2124.0
2018-03-23 11:00:00,236.0,3580.0
2018-03-23 12:00:00,236.0,224.0
2018-03-23 13:00:00,236.0,3247.0
2018-03-23 14:00:00,236.0,670.0
2018-03-23 15:00:00,236.0,3691.0
2018-03-23 16:00:00,74.0,0.0
2018-03-23 17:00:00,62.0,3807.0
2018-03-23 18:00:00,87.0,2799.0
2018-03-23 19:00:00,101.0,4480.0
2018-03-23 20:00:00,90.0,2351.0
2018-03-23 21:00:00,123.0,4031.0
2018-03-23 22:00:00,443.0,2910.0
2018-03-23 23:00:00,271.0,4031.0
2018-03-24 00:00:00,206.0,3020.0
2018-03-24 01:00:00,92.0,0.0
2018-03-24 02:00:00,79.0,0.0
2018-03-24 03:00:00,46.0,112.0
2018-03-24 04:00:00,90.0,3806.0
2018-03-24 05:00:00,44.0,0.0
2018-03-24 06:00:00,85.0,3694.0
2018-03-24 07:00:00,61.0,3248.0
2018-03-24 08:00:00,70.0,0.0
2018-03-24 09:00:00,646.0,7835.0
2018-03-24 10:00:00,177.0,4366.0
2018-03-24 11:00:00,252.0,4926.0
2018-03-24 12:00:00,91.0,3023.0
2018-03-24 13:00:00,75.0,3582.0
2018-03-24 14:00:00,147.0,1791.0
2018-03-24 15:00:00,204.0,1344.0
2018-03-24 16:00:00,542.0,2688.0
2018-03-24 17:00:00,110.0,3806.0
2018-03-24 18:00:00,424.0,3246.0
2018-03-24 19:00:00,860.0,5931.0
2018-03-24 20:00:00,240.0,5820.0
2018-03-24 21:00:00,161.0,4592.0
2018-03-24 22:00:00,177.0,4811.0
2018-03-24 23:00:00,179.0,4476.0
2018-03-25 00:00:00,133.0,2687.0
2018-03-25 01:00:00,83.0,0.0
2018-03-25 02:00:00,65.0,0.0
2018-03-25 03:00:00,70.0,223.0
2018-03-25 04:00:00,61.0,0.0
2018-03-25 05:00:00,66.0,112.0
2018-03-25 06:00:00,97.0,7727.0
2018-03-25 07:00:00,154.0,4925.0
2018-03-25 08:00:00,104.0,4812.0
2018-03-25 09:00:00,1488.0,4701.0
2018-03-25 10:00:00,672.0,1680.0
2018-03-25 11:00:00,77.0,0.0
2018-03-25 12:00:00,238.0,336.0
2018-03-25 13:00:00,93.0,672.0
2018-03-25 14:00:00,55.0,0.0
2018-03-25 15:00:00,71.0,112.0
2018-03-25 16:00:00,242.0,5373.0
2018-03-25 17:00:00,1179.0,5710.0
2018-03-25 18:00:00,644.0,6941.0
2018-03-25 19:00:00,168.0,6266.0
2018-03-25 20:00:00,206.0,5711.0
2018-03-25 21:00:00,175.0,5263.0
2018-03-25 22:00:00,234.0,4814.0
2018-03-25 23:00:00,154.0,4142.0
2018-03-26 00:00:00,84.0,0.0
2018-03-26 01:00:00,70.0,0.0
2018-03-26 02:00:00,68.0,0.0
2018-03-26 03:00:00,85.0,112.0
2018-03-26 04:00:00,67.0,0.0
2018-03-26 05:00:00,79.0,0.0
2018-03-26 06:00:00,57.0,112.0
2018-03-26 07:00:00,420.0,8283.0
2018-03-26 08:00:00,361.0,6379.0
2018-03-26 09:00:00,896.0,3021.0
2018-03-26 10:00:00,56.0,0.0
2018-03-26 11:00:00,155.0,112.0
2018-03-26 12:00:00,68.0,447.0
2018-03-26 13:00:00,71.0,0.0
2018-03-26 14:00:00,47.0,0.0
2018-03-26 15:00:00,209.0,3918.0
2018-03-26 16:00:00,147.0,448.0
2018-03-26 17:00:00,77.0,0.0
2018-03-26 18:00:00,640.0,672.0
2018-03-26 19:00:00,722.0,6829.0
2018-03-26 20:00:00,496.0,8399.0
2018-03-26 21:00:00,469.0,6823.0
2018-03-26 22:00:00,408.0,6266.0
2018-03-26 23:00:00,235.0,7275.0
2018-03-27 00:00:00,134.0,6153.0
