timestamp,home271_outside2521_sensor16767_gas-pulse_gas,home271_hall2523_sensor16781c16790_electric-mains_electric-combined
2017-12-22 15:00:00,7615.0,133.0
2017-12-22 16:00:00,16906.0,426.0
2017-12-22 17:00:00,6380.0,2117.0
2017-12-22 18:00:00,4701.0,1116.0
2017-12-22 19:00:00,1903.0,322.0
2017-12-22 20:00:00,2128.0,317.0
2017-12-22 21:00:00,2463.0,817.0
2017-12-22 22:00:00,2351.0,353.0
2017-12-22 23:00:00,2462.0,297.0
2017-12-23 00:00:00,0.0,158.0
2017-12-23 01:00:00,0.0,124.0
2017-12-23 03:00:00,0.0,96.0
2017-12-23 04:00:00,1679.0,148.0
2017-12-23 06:00:00,0.0,154.0
2017-12-23 07:00:00,2574.0,846.0
2017-12-23 09:00:00,0.0,249.0
2017-12-23 10:00:00,0.0,269.0
2017-12-23 12:00:00,336.0,832.0
2017-12-23 13:00:00,784.0,1709.0
2017-12-23 14:00:00,224.0,646.0
2017-12-23 15:00:00,0.0,596.0
2017-12-23 16:00:00,1903.0,765.0
2017-12-23 17:00:00,3807.0,1572.0
2017-12-23 18:00:00,1008.0,837.0
2017-12-23 19:00:00,224.0,586.0
2017-12-23 20:00:00,3584.0,563.0
2017-12-23 21:00:00,336.0,433.0
2017-12-23 22:00:00,0.0,629.0
2017-12-23 23:00:00,0.0,364.0
2017-12-24 00:00:00,3357.0,190.0
2017-12-24 01:00:00,112.0,147.0
2017-12-24 02:00:00,0.0,140.0
2017-12-24 03:00:00,3247.0,127.0
2017-12-24 04:00:00,0.0,123.0
2017-12-24 05:00:00,0.0,116.0
2017-12-24 06:00:00,3245.0,149.0
2017-12-24 07:00:00,0.0,123.0
2017-12-24 08:00:00,3024.0,316.0
2017-12-24 09:00:00,223.0,422.0
2017-12-24 10:00:00,0.0,461.0
2017-12-24 11:00:00,5823.0,525.0
2017-12-24 12:00:00,9630.0,577.0
2017-12-24 13:00:00,671.0,460.0
2017-12-24 14:00:00,0.0,603.0
2017-12-24 15:00:00,0.0,762.0
2017-12-24 16:00:00,1680.0,117.0
2017-12-24 17:00:00,5710.0,160.0
2017-12-24 18:00:00,2240.0,118.0
2017-12-24 19:00:00,2687.0,410.0
2017-12-24 20:00:00,0.0,966.0
2017-12-24 21:00:00,3246.0,342.0
2017-12-24 22:00:00,896.0,270.0
2017-12-24 23:00:00,2460.0,357.0
2017-12-25 00:00:00,0.0,240.0
2017-12-25 01:00:00,0.0,156.0
2017-12-25 03:00:00,0.0,103.0
2017-12-25 04:00:00,0.0,94.0
2017-12-25 06:00:00,0.0,121.0
2017-12-25 07:00:00,0.0,183.0
2017-12-25 09:00:00,0.0,551.0
2017-12-25 10:00:00,0.0,3116.0
2017-12-25 12:00:00,0.0,410.0
2017-12-25 13:00:00,0.0,540.0
2017-12-25 15:00:00,447.0,155.0
2017-12-25 18:00:00,0.0,183.0
2017-12-25 20:00:00,0.0,218.0
2017-12-25 21:00:00,0.0,149.0
2017-12-25 23:00:00,0.0,1127.0
2017-12-26 00:00:00,224.0,712.0
2017-12-26 01:00:00,3916.0,464.0
2017-12-26 02:00:00,2348.0,122.0
2017-12-26 03:00:00,224.0,132.0
2017-12-26 04:00:00,3808.0,136.0
2017-12-26 05:00:00,2015.0,117.0
2017-12-26 06:00:00,672.0,115.0
2017-12-26 07:00:00,0.0,133.0
2017-12-26 08:00:00,0.0,248.0
2017-12-26 09:00:00,0.0,136.0
2017-12-26 10:00:00,224.0,760.0
2017-12-26 11:00:00,1678.0,266.0
2017-12-26 12:00:00,15561.0,435.0
2017-12-26 13:00:00,0.0,116.0
2017-12-26 14:00:00,1680.0,141.0
2017-12-26 15:00:00,3360.0,149.0
2017-12-26 16:00:00,2686.0,159.0
2017-12-26 17:00:00,224.0,142.0
2017-12-26 18:00:00,4031.0,192.0
2017-12-26 19:00:00,1455.0,499.0
2017-12-26 20:00:00,6716.0,412.0
2017-12-26 21:00:00,2686.0,348.0
2017-12-26 22:00:00,3023.0,920.0
2017-12-26 23:00:00,3022.0,996.0
2017-12-27 00:00:00,2351.0,270.0
2017-12-27 01:00:00,2014.0,286.0
2017-12-27 04:00:00,784.0,146.0
2017-12-27 06:00:00,0.0,97.0
2017-12-27 07:00:00,0.0,97.0
2017-12-27 09:00:00,1902.0,240.0
2017-12-27 10:00:00,1232.0,257.0
2017-12-27 12:00:00,336.0,153.0
2017-12-27 13:00:00,0.0,192.0
2017-12-27 15:00:00,2576.0,493.0
2017-12-27 18:00:00,1456.0,446.0
2017-12-27 20:00:00,0.0,496.0
2017-12-27 21:00:00,2911.0,685.0
2017-12-27 23:00:00,0.0,469.0
2017-12-28 01:00:00,3807.0,171.0
2017-12-28 02:00:00,3133.0,137.0
2017-12-28 03:00:00,3245.0,123.0
2017-12-28 04:00:00,2240.0,121.0
2017-12-28 05:00:00,3472.0,126.0
2017-12-28 06:00:00,4031.0,138.0
2017-12-28 07:00:00,672.0,125.0
2017-12-28 08:00:00,0.0,122.0
2017-12-28 09:00:00,112.0,328.0
2017-12-28 10:00:00,4814.0,743.0
2017-12-28 11:00:00,4367.0,867.0
2017-12-28 12:00:00,10411.0,291.0
2017-12-28 13:00:00,1679.0,714.0
2017-12-28 14:00:00,2016.0,698.0
2017-12-28 15:00:00,5152.0,145.0
2017-12-28 16:00:00,3807.0,143.0
2017-12-28 17:00:00,2911.0,150.0
2017-12-28 18:00:00,1792.0,167.0
2017-12-28 19:00:00,5823.0,245.0
2017-12-28 20:00:00,9851.0,546.0
2017-12-28 21:00:00,3022.0,538.0
2017-12-28 22:00:00,2350.0,370.0
2017-12-28 23:00:00,3359.0,376.0
2017-12-29 00:00:00,2352.0,394.0
2017-12-29 01:00:00,0.0,303.0
2017-12-29 03:00:00,1456.0,173.0
2017-12-29 04:00:00,672.0,142.0
2017-12-29 06:00:00,0.0,181.0
2017-12-29 07:00:00,0.0,186.0
2017-12-29 09:00:00,0.0,313.0
2017-12-29 10:00:00,1791.0,639.0
2017-12-29 12:00:00,7034.0,1039.0
2017-12-29 15:00:00,1792.0,192.0
2017-12-29 16:00:00,3134.0,178.0
2017-12-29 17:00:00,2351.0,170.0
2017-12-29 18:00:00,3022.0,186.0
2017-12-29 19:00:00,2688.0,190.0
2017-12-29 20:00:00,5263.0,208.0
2017-12-29 21:00:00,4028.0,695.0
2017-12-29 22:00:00,2685.0,520.0
2017-12-29 23:00:00,2573.0,215.0
2017-12-30 00:00:00,2350.0,294.0
2017-12-30 01:00:00,3134.0,215.0
2017-12-30 02:00:00,2239.0,132.0
2017-12-30 03:00:00,2908.0,134.0
2017-12-30 04:00:00,1792.0,126.0
2017-12-30 05:00:00,2127.0,121.0
2017-12-30 06:00:00,2016.0,129.0
2017-12-30 07:00:00,2574.0,135.0
2017-12-30 08:00:00,3246.0,132.0
2017-12-30 09:00:00,2461.0,315.0
2017-12-30 10:00:00,9183.0,409.0
2017-12-30 11:00:00,2239.0,612.0
2017-12-30 12:00:00,5036.0,671.0
2017-12-30 13:00:00,6831.0,1103.0
2017-12-30 14:00:00,5929.0,1787.0
2017-12-30 15:00:00,3358.0,1465.0
2017-12-30 16:00:00,3358.0,1423.0
2017-12-30 17:00:00,3918.0,1394.0
2017-12-30 18:00:00,4592.0,1995.0
2017-12-30 19:00:00,9853.0,817.0
2017-12-30 20:00:00,5152.0,644.0
2017-12-30 21:00:00,336.0,1460.0
2017-12-30 22:00:00,0.0,564.0
2017-12-30 23:00:00,5593.0,770.0
2017-12-31 00:00:00,112.0,303.0
2017-12-31 01:00:00,112.0,155.0
2017-12-31 03:00:00,0.0,98.0
2017-12-31 04:00:00,0.0,123.0
2017-12-31 06:00:00,0.0,161.0
2017-12-31 07:00:00,3245.0,200.0
2017-12-31 09:00:00,0.0,133.0
2017-12-31 10:00:00,112.0,1204.0
2017-12-31 12:00:00,112.0,1219.0
2017-12-31 13:00:00,672.0,1610.0
2017-12-31 15:00:00,0.0,869.0
2017-12-31 16:00:00,0.0,438.0
2017-12-31 18:00:00,336.0,1270.0
2017-12-31 19:00:00,0.0,1291.0
2017-12-31 21:00:00,3693.0,1470.0
2017-12-31 23:00:00,0.0,270.0
2018-01-01 00:00:00,0.0,252.0
2018-01-01 02:00:00,0.0,95.0
2018-01-01 03:00:00,0.0,94.0
2018-01-01 05:00:00,0.0,112.0
2018-01-01 06:00:00,3360.0,122.0
2018-01-01 07:00:00,0.0,118.0
2018-01-01 08:00:00,3359.0,125.0
2018-01-01 09:00:00,2463.0,121.0
2018-01-01 10:00:00,1791.0,412.0
2018-01-01 11:00:00,3695.0,818.0
2018-01-01 12:00:00,336.0,709.0
2018-01-01 13:00:00,3693.0,1381.0
2018-01-01 14:00:00,224.0,2134.0
2018-01-01 15:00:00,6047.0,1671.0
2018-01-01 16:00:00,1903.0,1130.0
2018-01-01 17:00:00,2573.0,1486.0
2018-01-01 18:00:00,5261.0,2156.0
2018-01-01 19:00:00,9066.0,1669.0
2018-01-01 20:00:00,6608.0,827.0
2018-01-01 21:00:00,6043.0,1783.0
2018-01-01 22:00:00,2460.0,1118.0
2018-01-01 23:00:00,3242.0,528.0
2018-01-02 00:00:00,3583.0,339.0
2018-01-02 01:00:00,2687.0,177.0
2018-01-02 02:00:00,3136.0,124.0
2018-01-02 03:00:00,0.0,122.0
2018-01-02 04:00:00,3357.0,133.0
2018-01-02 05:00:00,4590.0,134.0
2018-01-02 06:00:00,3359.0,131.0
2018-01-02 07:00:00,3359.0,135.0
2018-01-02 08:00:00,0.0,114.0
2018-01-02 09:00:00,2800.0,117.0
2018-01-02 10:00:00,3919.0,749.0
2018-01-02 11:00:00,3020.0,1724.0
2018-01-02 12:00:00,15330.0,591.0
2018-01-02 13:00:00,2687.0,1327.0
2018-01-02 14:00:00,2684.0,384.0
2018-01-02 15:00:00,3242.0,851.0
2018-01-02 16:00:00,447.0,577.0
2018-01-02 17:00:00,1008.0,1552.0
2018-01-02 18:00:00,1118.0,590.0
2018-01-02 19:00:00,447.0,1138.0
2018-01-02 20:00:00,5038.0,2371.0
2018-01-02 21:00:00,2906.0,1273.0
2018-01-02 22:00:00,446.0,773.0
2018-01-02 23:00:00,0.0,848.0
2018-01-03 00:00:00,5250.0,310.0
2018-01-03 01:00:00,447.0,250.0
2018-01-03 04:00:00,0.0,126.0
2018-01-03 07:00:00,0.0,113.0
2018-01-03 10:00:00,3358.0,142.0
2018-01-03 11:00:00,2240.0,454.0
2018-01-03 12:00:00,8954.0,293.0
2018-01-03 13:00:00,6381.0,285.0
2018-01-03 14:00:00,3246.0,119.0
2018-01-03 15:00:00,1903.0,123.0
2018-01-03 16:00:00,3132.0,145.0
2018-01-03 17:00:00,1680.0,553.0
2018-01-03 18:00:00,2909.0,433.0
2018-01-03 19:00:00,3020.0,552.0
2018-01-03 20:00:00,560.0,410.0
2018-01-03 21:00:00,2238.0,894.0
2018-01-03 22:00:00,3917.0,1077.0
2018-01-03 23:00:00,2016.0,726.0
2018-01-04 00:00:00,3358.0,848.0
2018-01-04 01:00:00,2575.0,257.0
2018-01-04 02:00:00,2350.0,126.0
2018-01-04 03:00:00,1230.0,137.0
2018-01-04 04:00:00,3470.0,133.0
2018-01-04 05:00:00,3693.0,134.0
2018-01-04 06:00:00,2463.0,134.0
2018-01-04 07:00:00,112.0,118.0
2018-01-04 08:00:00,3469.0,119.0
2018-01-04 09:00:00,3132.0,267.0
2018-01-04 10:00:00,3469.0,208.0
2018-01-04 11:00:00,2684.0,541.0
2018-01-04 12:00:00,18556.0,582.0
2018-01-04 13:00:00,224.0,173.0
2018-01-04 14:00:00,0.0,126.0
2018-01-04 15:00:00,7592.0,130.0
2018-01-04 16:00:00,1005.0,194.0
2018-01-04 17:00:00,4466.0,993.0
2018-01-04 18:00:00,2234.0,1166.0
2018-01-04 19:00:00,2791.0,981.0
2018-01-04 20:00:00,3572.0,974.0
2018-01-04 21:00:00,0.0,364.0
2018-01-04 22:00:00,0.0,229.0
2018-01-04 23:00:00,5917.0,255.0
2018-01-05 00:00:00,2345.0,359.0
2018-01-05 01:00:00,0.0,221.0
2018-01-05 02:00:00,1116.0,195.0
2018-01-05 03:00:00,0.0,122.0
2018-01-05 04:00:00,6139.0,137.0
2018-01-05 05:00:00,1452.0,142.0
2018-01-05 06:00:00,3014.0,121.0
2018-01-05 07:00:00,0.0,106.0
2018-01-05 08:00:00,0.0,120.0
2018-01-05 09:00:00,0.0,626.0
2018-01-05 10:00:00,1005.0,746.0
2018-01-05 11:00:00,3016.0,440.0
2018-01-05 12:00:00,10496.0,230.0
2018-01-05 13:00:00,670.0,719.0
2018-01-05 14:00:00,0.0,1201.0
2018-01-05 15:00:00,16522.0,790.0
2018-01-05 16:00:00,4689.0,213.0
2018-01-05 17:00:00,1898.0,3440.0
2018-01-05 18:00:00,4577.0,796.0
2018-01-05 19:00:00,0.0,305.0
2018-01-05 20:00:00,8708.0,182.0
2018-01-05 21:00:00,2458.0,275.0
2018-01-05 22:00:00,0.0,204.0
2018-01-05 23:00:00,0.0,285.0
2018-01-06 00:00:00,0.0,228.0
2018-01-06 01:00:00,0.0,186.0
2018-01-06 02:00:00,0.0,117.0
2018-01-06 03:00:00,11833.0,135.0
2018-01-06 04:00:00,4467.0,126.0
2018-01-06 05:00:00,3243.0,135.0
2018-01-06 06:00:00,2455.0,116.0
2018-01-06 07:00:00,4138.0,117.0
2018-01-06 08:00:00,2463.0,126.0
2018-01-06 09:00:00,3021.0,576.0
2018-01-06 10:00:00,2239.0,780.0
2018-01-06 11:00:00,1791.0,991.0
2018-01-06 12:00:00,224.0,670.0
2018-01-06 13:00:00,1568.0,1087.0
2018-01-06 14:00:00,112.0,719.0
2018-01-06 15:00:00,0.0,960.0
2018-01-06 16:00:00,1680.0,382.0
2018-01-06 17:00:00,14667.0,560.0
2018-01-06 18:00:00,11081.0,436.0
2018-01-06 19:00:00,2240.0,144.0
2018-01-06 20:00:00,2463.0,370.0
2018-01-06 21:00:00,3133.0,942.0
2018-01-06 22:00:00,2574.0,510.0
2018-01-06 23:00:00,2575.0,305.0
2018-01-07 00:00:00,3469.0,279.0
2018-01-07 01:00:00,2576.0,267.0
2018-01-07 02:00:00,3359.0,122.0
2018-01-07 03:00:00,2576.0,123.0
2018-01-07 04:00:00,3133.0,128.0
2018-01-07 05:00:00,2464.0,124.0
2018-01-07 06:00:00,3023.0,133.0
2018-01-07 07:00:00,2463.0,126.0
2018-01-07 08:00:00,3023.0,118.0
2018-01-07 09:00:00,2575.0,273.0
2018-01-07 10:00:00,3021.0,230.0
2018-01-07 11:00:00,560.0,228.0
2018-01-07 12:00:00,16567.0,596.0
2018-01-07 13:00:00,2573.0,1018.0
2018-01-07 14:00:00,112.0,458.0
2018-01-07 15:00:00,0.0,638.0
2018-01-07 16:00:00,3022.0,2583.0
2018-01-07 17:00:00,8063.0,2219.0
2018-01-07 18:00:00,5819.0,1055.0
2018-01-07 19:00:00,9735.0,579.0
2018-01-07 20:00:00,3135.0,673.0
2018-01-07 21:00:00,2686.0,284.0
2018-01-07 22:00:00,3133.0,215.0
2018-01-07 23:00:00,2462.0,270.0
2018-01-08 00:00:00,3357.0,148.0
2018-01-08 01:00:00,2576.0,131.0
2018-01-08 02:00:00,3247.0,124.0
2018-01-08 03:00:00,2576.0,121.0
2018-01-08 04:00:00,3133.0,120.0
2018-01-08 05:00:00,2464.0,119.0
2018-01-08 06:00:00,3359.0,124.0
2018-01-08 07:00:00,11419.0,454.0
