timestamp,home290_other2691_sensor18644c18653_electric-mains_electric-combined,home290_other2695_sensor18665_gas-pulse_gas
2018-02-16 08:00:00,177.0,0.0
2018-02-16 09:00:00,171.0,0.0
2018-02-16 10:00:00,184.0,0.0
2018-02-16 11:00:00,163.0,0.0
2018-02-16 12:00:00,203.0,0.0
2018-02-16 13:00:00,175.0,0.0
2018-02-16 14:00:00,193.0,0.0
2018-02-16 15:00:00,261.0,0.0
2018-02-16 16:00:00,241.0,0.0
2018-02-16 17:00:00,256.0,0.0
2018-02-16 18:00:00,315.0,0.0
2018-02-16 19:00:00,273.0,0.0
2018-02-16 20:00:00,237.0,0.0
2018-02-16 21:00:00,279.0,0.0
2018-02-16 22:00:00,221.0,0.0
2018-02-16 23:00:00,259.0,0.0
2018-02-17 00:00:00,188.0,0.0
2018-02-17 03:00:00,122.0,0.0
2018-02-17 05:00:00,169.0,0.0
2018-02-17 06:00:00,169.0,0.0
2018-02-17 08:00:00,199.0,0.0
2018-02-17 10:00:00,199.0,0.0
2018-02-17 11:00:00,158.0,0.0
2018-02-17 12:00:00,191.0,0.0
2018-02-17 13:00:00,177.0,0.0
2018-02-17 14:00:00,205.0,0.0
2018-02-17 15:00:00,275.0,0.0
2018-02-17 16:00:00,816.0,23695.0
2018-02-17 17:00:00,1347.0,0.0
2018-02-17 18:00:00,2825.0,0.0
2018-02-17 19:00:00,4335.0,0.0
2018-02-17 20:00:00,841.0,0.0
2018-02-17 21:00:00,806.0,0.0
2018-02-17 22:00:00,721.0,0.0
2018-02-17 23:00:00,391.0,0.0
2018-02-18 00:00:00,666.0,0.0
2018-02-18 01:00:00,260.0,0.0
2018-02-18 02:00:00,182.0,0.0
2018-02-18 03:00:00,248.0,0.0
2018-02-18 04:00:00,173.0,0.0
2018-02-18 05:00:00,163.0,0.0
2018-02-18 06:00:00,284.0,0.0
2018-02-18 07:00:00,289.0,78984.0
2018-02-18 08:00:00,248.0,0.0
2018-02-18 09:00:00,1847.0,0.0
2018-02-18 10:00:00,573.0,0.0
2018-02-18 11:00:00,1038.0,0.0
2018-02-18 12:00:00,2199.0,0.0
2018-02-18 13:00:00,517.0,41072.0
2018-02-18 14:00:00,520.0,0.0
2018-02-18 15:00:00,595.0,0.0
2018-02-18 16:00:00,2925.0,0.0
2018-02-18 17:00:00,4838.0,0.0
2018-02-18 18:00:00,1801.0,0.0
2018-02-18 19:00:00,585.0,0.0
2018-02-18 20:00:00,630.0,0.0
2018-02-18 21:00:00,635.0,0.0
2018-02-18 22:00:00,587.0,0.0
2018-02-18 23:00:00,271.0,0.0
2018-02-19 00:00:00,212.0,0.0
2018-02-19 01:00:00,176.0,0.0
2018-02-19 02:00:00,199.0,0.0
2018-02-19 03:00:00,206.0,0.0
2018-02-19 04:00:00,179.0,0.0
2018-02-19 05:00:00,267.0,0.0
2018-02-19 06:00:00,1654.0,0.0
2018-02-19 07:00:00,933.0,0.0
2018-02-19 08:00:00,249.0,0.0
2018-02-19 09:00:00,210.0,0.0
2018-02-19 10:00:00,174.0,0.0
2018-02-19 11:00:00,1837.0,0.0
2018-02-19 12:00:00,526.0,0.0
2018-02-19 13:00:00,773.0,948.0
2018-02-19 14:00:00,1919.0,1264.0
2018-02-19 15:00:00,390.0,7899.0
2018-02-19 16:00:00,877.0,7268.0
2018-02-19 17:00:00,1078.0,6320.0
2018-02-19 18:00:00,2368.0,6004.0
2018-02-19 19:00:00,1253.0,5372.0
2018-02-19 20:00:00,706.0,6320.0
2018-02-19 21:00:00,715.0,5056.0
2018-02-19 22:00:00,555.0,316.0
2018-02-19 23:00:00,474.0,0.0
2018-02-20 00:00:00,234.0,0.0
2018-02-20 01:00:00,365.0,0.0
2018-02-20 03:00:00,180.0,0.0
2018-02-20 05:00:00,2.0,0.0
2018-02-20 06:00:00,803.0,1896.0
2018-02-20 08:00:00,212.0,0.0
2018-02-20 09:00:00,180.0,0.0
2018-02-20 10:00:00,213.0,0.0
2018-02-20 11:00:00,854.0,0.0
2018-02-20 12:00:00,747.0,7584.0
2018-02-20 13:00:00,880.0,5372.0
2018-02-20 14:00:00,293.0,5372.0
2018-02-20 15:00:00,312.0,6320.0
2018-02-20 16:00:00,695.0,4740.0
2018-02-20 17:00:00,478.0,6636.0
2018-02-20 18:00:00,1585.0,8216.0
2018-02-20 19:00:00,1095.0,8532.0
2018-02-20 20:00:00,578.0,8532.0
2018-02-20 21:00:00,535.0,5688.0
2018-02-20 22:00:00,394.0,0.0
2018-02-20 23:00:00,258.0,0.0
2018-02-21 00:00:00,214.0,0.0
2018-02-21 01:00:00,165.0,0.0
2018-02-21 02:00:00,206.0,0.0
2018-02-21 04:00:00,249.0,0.0
2018-02-21 05:00:00,270.0,0.0
2018-02-21 07:00:00,590.0,1896.0
2018-02-21 09:00:00,170.0,0.0
2018-02-21 10:00:00,192.0,0.0
2018-02-21 11:00:00,192.0,1580.0
2018-02-21 12:00:00,202.0,0.0
2018-02-21 13:00:00,202.0,0.0
2018-02-21 14:00:00,187.0,316.0
2018-02-21 15:00:00,272.0,5688.0
2018-02-21 16:00:00,272.0,5687.0
2018-02-21 17:00:00,526.0,7900.0
2018-02-21 18:00:00,903.0,8532.0
2018-02-21 19:00:00,931.0,8216.0
2018-02-21 20:00:00,845.0,6635.0
2018-02-21 21:00:00,1483.0,5688.0
2018-02-21 22:00:00,1009.0,0.0
2018-02-21 23:00:00,1105.0,5688.0
2018-02-22 00:00:00,241.0,316.0
2018-02-22 01:00:00,194.0,0.0
2018-02-22 02:00:00,183.0,316.0
2018-02-22 05:00:00,341.0,3476.0
2018-02-22 07:00:00,465.0,1580.0
2018-02-22 08:00:00,271.0,948.0
2018-02-22 10:00:00,272.0,0.0
2018-02-22 12:00:00,175.0,0.0
2018-02-22 13:00:00,186.0,316.0
2018-02-22 14:00:00,183.0,0.0
2018-02-22 15:00:00,255.0,6952.0
2018-02-22 16:00:00,283.0,6320.0
2018-02-22 17:00:00,391.0,8848.0
2018-02-22 18:00:00,3383.0,8848.0
2018-02-22 19:00:00,3793.0,9480.0
2018-02-22 20:00:00,2798.0,8532.0
2018-02-22 21:00:00,1335.0,8532.0
2018-02-22 22:00:00,838.0,8532.0
2018-02-22 23:00:00,406.0,5688.0
2018-02-23 00:00:00,184.0,0.0
2018-02-23 03:00:00,161.0,316.0
